City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
676,Meiktila,MM,80.53,overcast clouds,20.87,95.87,The Floral Breeze Wunzin Hotel
677,Olinda,BR,82.4,few clouds,-8.01,-34.86,Hotel 5 Sóis
681,Lincoln,US,86.0,overcast clouds,40.8,-96.67,Courtyard by Marriott Lincoln Downtown/Haymarket
684,West Bay,KY,87.8,scattered clouds,19.37,-81.42,Calypso Cove
686,Marawi,PH,77.0,overcast clouds,8.0,124.29,Derogongan Residence
687,Erzin,TR,84.0,clear sky,36.96,36.2,Artemis Otel
689,Poienile Izei,RO,81.0,scattered clouds,47.7,24.12,Pensiunea Costinar Aurica
695,Cartagena Del Chaira,CO,89.87,clear sky,1.33,-74.84,HOTEL LA ROCA
696,Champerico,GT,82.4,broken clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
700,Guanica,PR,90.0,broken clouds,17.97,-66.91,Copamarina Beach Resort & Spa
702,Auki,SB,77.72,light rain,-8.77,160.7,Auki Motel
703,Bumba,CD,77.74,broken clouds,2.18,22.47,Hôtel Cape Town
705,Fare,PF,77.95,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
712,Santa Cruz,BO,86.0,smoke,-17.8,-63.17,Hotel Cortez
714,Butwal,NP,78.89,light rain,27.7,83.45,Hotel Sindoor Pvt. Ltd.
715,Miramar,US,90.0,few clouds,25.99,-80.23,Stadium Hotel
716,Pinar Del Rio,CU,86.68,clear sky,22.42,-83.7,Hostal La Colina Dunay y Raul
717,Mahibadhoo,MV,82.85,overcast clouds,3.78,72.97,Omadhoo Inn
719,Banjar,ID,78.8,scattered clouds,-8.19,114.97,The Hamsa Resort
